Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@itsnannyr29,@itsnannyr29,,User,,,,,,,Mon Sep 10 21:18:39 CEST 2018,,,,"call me by your name 🏹
| bei tenebrosi stan account 🪐💛
| real hot girl shit 😝",,http://pbs.twimg.com/profile_images/1391137065262256135/holJZ2FK_bigger.jpg,241,130,𝑵𝒂𝒏𝒏𝒚. 🪐,"Napoli, Campania",,,
@gfresh81,@gfresh81,<[2021-05-20T19:26:28.266Z]>,User,,,,,,,Fri Feb 06 10:10:00 CET 2009,,,,"This is my highly unprofessional and personal account - expect mediocre nerdery, Bristol Rovers, F1 and swearing. Archivists may prefer @ArchiveGray.",,http://pbs.twimg.com/profile_images/1247514049/11465_219497549873_517114873_4091757_2193951_n_bigger.jpg,162,120,Gfresh Tratt,"Bristol, England",,,
@mentizenes,@mentizenes,"<[2021-05-20T19:26:28.269Z, 2021-05-20T19:26:35.721Z]>",User,,,,,,,Mon Mar 23 14:13:50 CET 2020,,,,"Πλέον τηλεοπτικό προφίλ 📺
#skai_xeftiles",,http://pbs.twimg.com/profile_images/1394649838076182531/NkKx-Qd9_bigger.jpg,95,86,Μεντί Ζενές,,,,
@flasobresalto,@flasobresalto,"<[2021-05-20T19:26:28.271Z, 2021-05-20T19:26:59.076Z]>",User,,,,,,,Sat May 16 16:54:04 CEST 2020,,,,"𝒄𝒐𝒏 𝒉𝒂𝒎𝒃𝒓𝒆 𝒅𝒆 𝒓𝒆𝒗𝒐𝒍𝒖𝒄𝒊𝒐𝒏 ✨
#TeamQuieroBrocoli",,http://pbs.twimg.com/profile_images/1393315192570777603/2-rZWlZ3_bigger.jpg,2152,2117,iñaki 🇮🇹🇦🇿🇷🇺 | 🇷🇴💔,𝔦𝔠𝔢𝔟𝔢𝔯𝔤~𝔮𝔲𝔦𝔪𝔢𝔯𝔞,,,
@rayway82,@rayway82,<[2021-05-20T19:26:28.272Z]>,User,,,,,,,Tue Jun 15 17:17:56 CEST 2010,,,,naiv und braunäugig. Held der Arbeit. #ESC-Aficionado. Vorsicht: #Halbwissen,,http://pbs.twimg.com/profile_images/728497884019101696/s4EcbclS_bigger.jpg,2100,1145,Ray,"Wien, Österreich",,,
@hmader,@hmader,<[2021-05-20T19:26:28.272Z]>,User,,,,,,,Tue Apr 28 17:23:20 CEST 2009,,,,journalist // homo politicus // private tweeting // online project manager,,http://pbs.twimg.com/profile_images/894138292974870528/mkJpyK_m_bigger.jpg,1096,502,Herwig-Hakan Mader,Vienna,,,
@perperuna93,@perperuna93,<[2021-05-20T19:26:28.273Z]>,User,,,,,,,Tue Sep 25 09:40:44 CEST 2018,,,,"27, librarian
did you ever just got high on the smell of a book? 
enemies to lovers ♥ | too old to care about what you think about my ships
h: @aeiinwhitethrn",,http://pbs.twimg.com/profile_images/1385947456161161218/8wavGZFW_bigger.jpg,508,493,sandra 🐝🌘 sab spoilers,"cebulandia, psze pani",,,
@xristinafroso,@xristinafroso,<[2021-05-20T19:26:28.276Z]>,User,,,,,,,Wed Jul 06 12:27:42 CEST 2011,,,,,,http://pbs.twimg.com/profile_images/1347241047672414209/MHYHqBV5_bigger.jpg,863,725,xristina-froso,,,,
@joy_eurovision,@joy_eurovision,<[2021-05-20T19:26:28.296Z]>,User,,,,,,,Sat Mar 21 08:22:49 CET 2015,,,,"Join @maybemick, @theliamsclark, @vitamallory and the team for all things #Eurovision on Australia's #LGBTI radio station, @JOY949. ON AIR: Sat, 6pm AEST",,http://pbs.twimg.com/profile_images/1354760126264053767/Zmq2yKST_bigger.jpg,417,680,"#JOYESC 🇦🇺🏳️‍🌈","Melbourne, Australia",,,
@dan_boi91,@dan_boi91,<[2021-05-20T19:26:28.578Z]>,User,,,,,,,Mon Jan 04 23:12:26 CET 2010,,,,"30𝔰, ℜ𝔬𝔩𝔩𝔬 𝔡𝔢𝔰𝔠 #ℭ𝔶𝔪𝔯𝔬  #𝔖𝔓𝔑 #𝔒𝔲𝔱𝔩𝔞𝔫𝔡𝔢𝔯
𝔥𝔢/𝔥𝔦𝔪 #𝔘𝔫𝔱𝔞𝔪𝔢𝔡𝔗𝔢𝔫𝔬𝔯 #𝔅𝔢𝔈𝔵𝔠𝔢𝔩𝔩𝔢𝔫𝔱𝔗𝔬𝔈𝔞𝔠𝔥𝔒𝔱𝔥𝔢𝔯",,http://pbs.twimg.com/profile_images/1392826288239489025/iMxaZjeW_bigger.jpg,4654,2742,𝕯𝖆𝖓 𝕱𝖆𝖗𝖒𝖊𝖗 🤨🇲🇹🇬🇷🇨🇭🇧🇬,𝕱𝖗𝖊𝖊𝖉𝖔𝖒 𝖆𝖓' 🥃,,,
