Source,Target,Type,Kind,Id,Label,timeset,Weight
@chemicalpoisons,@richiemccormack,Directed,Retweet,2237,,<[2021-05-20T19:25:20.294Z]>,1
@darrenbtw,@eurovision,Directed,Mention,2238,,<[2021-05-20T19:25:20.402Z]>,1
@darrenbtw,@eurovision,Directed,Retweet,2239,,<[2021-05-20T19:25:20.402Z]>,1
@melegvagyok_,@eurovision,Directed,Quote,2240,,"<[2021-05-20T19:25:20.411Z, 2021-05-20T19:26:40.584Z]>",2
@runit001,@eurovision,Directed,Quote,2241,,<[2021-05-20T19:25:20.413Z]>,1
@gaudo,@euromaneskinita,Directed,Mention,2242,,<[2021-05-20T19:25:20.463Z]>,1
@gaudo,@euromaneskinita,Directed,Retweet,2243,,<[2021-05-20T19:25:20.463Z]>,1
@mendes24hours,@nikkietutorials,Directed,Mention,2244,,<[2021-05-20T19:25:20.529Z]>,1
@mendes24hours,@eurovision,Directed,Mention,2245,,<[2021-05-20T19:25:20.529Z]>,1
@mendes24hours,@nikkietutorials,Directed,Retweet,2246,,<[2021-05-20T19:25:20.529Z]>,1
@rebeldeway97,@lavenderpignoli,Directed,Mention,2247,,<[2021-05-20T19:25:20.689Z]>,1
@rebeldeway97,@lavenderpignoli,Directed,Retweet,2248,,<[2021-05-20T19:25:20.689Z]>,1
@amyxce,@bbceurovision,Directed,Mention,2249,,<[2021-05-20T19:25:20.733Z]>,1
@amyxce,@bbceurovision,Directed,Retweet,2250,,<[2021-05-20T19:25:20.733Z]>,1
@dimandresakis,@ian_omrf,Directed,Mention,2251,,<[2021-05-20T19:25:20.756Z]>,1
@dimandresakis,@ian_omrf,Directed,Retweet,2252,,<[2021-05-20T19:25:20.756Z]>,1
@narancial0vebot,@inkfabr,Directed,Mention,2253,,<[2021-05-20T19:25:20.833Z]>,1
@narancial0vebot,@inkfabr,Directed,Retweet,2254,,<[2021-05-20T19:25:20.833Z]>,1
@winterflower_jm,@letyborr,Directed,Mention,2255,,<[2021-05-20T19:25:20.947Z]>,1
@winterflower_jm,@letyborr,Directed,Retweet,2256,,<[2021-05-20T19:25:20.947Z]>,1
@nervicakubica,@kekemiyy3012,Directed,Mention,2257,,<[2021-05-20T19:25:21.089Z]>,1
@nervicakubica,@kekemiyy3012,Directed,Retweet,2258,,<[2021-05-20T19:25:21.089Z]>,1
@scribeknight,@euromovidas,Directed,Mention,2259,,<[2021-05-20T19:25:21.283Z]>,1
@scribeknight,@euromovidas,Directed,Retweet,2260,,<[2021-05-20T19:25:21.284Z]>,1
@francy_1518,@writerinthedavk,Directed,Mention,2261,,<[2021-05-20T19:25:21.289Z]>,1
@francy_1518,@writerinthedavk,Directed,Retweet,2262,,<[2021-05-20T19:25:21.289Z]>,1
@nicoloborsetto,@itsmwengo,Directed,Mention,2263,,<[2021-05-20T19:25:21.357Z]>,1
@nicoloborsetto,@itsmwengo,Directed,Retweet,2264,,<[2021-05-20T19:25:21.357Z]>,1
@macpsych,@grooming_guru,Directed,Mention,2265,,<[2021-05-20T19:25:21.411Z]>,1
@macpsych,@grooming_guru,Directed,Retweet,2266,,<[2021-05-20T19:25:21.411Z]>,1
@pascalohjaa,@eurovision,Directed,Mention,2267,,<[2021-05-20T19:25:21.412Z]>,1
@paulitike,@bbceurovision,Directed,Mention,2268,,<[2021-05-20T19:25:21.444Z]>,1
@paulitike,@bbceurovision,Directed,Retweet,2269,,<[2021-05-20T19:25:21.444Z]>,1
@_alrightsara,@commonescgirl,Directed,Mention,2270,,<[2021-05-20T19:25:21.468Z]>,1
@_alrightsara,@commonescgirl,Directed,Retweet,2271,,<[2021-05-20T19:25:21.468Z]>,1
@ama25_em,@nolweenie,Directed,Mention,2272,,<[2021-05-20T19:25:21.585Z]>,1
@ama25_em,@nolweenie,Directed,Retweet,2273,,<[2021-05-20T19:25:21.585Z]>,1
@stupidfacerob,@farronatic,Directed,Mention,2274,,<[2021-05-20T19:25:21.640Z]>,1
@stupidfacerob,@farronatic,Directed,Retweet,2275,,<[2021-05-20T19:25:21.640Z]>,1
@airomens,@farronatic,Directed,Mention,2276,,<[2021-05-20T19:25:21.649Z]>,1
@airomens,@farronatic,Directed,Retweet,2277,,<[2021-05-20T19:25:21.650Z]>,1
@lotuspiri,@itsmalbert,Directed,Mention,2278,,<[2021-05-20T19:25:21.723Z]>,1
@lotuspiri,@itsmalbert,Directed,Retweet,2279,,<[2021-05-20T19:25:21.723Z]>,1
@akisv90,@panosdotkom,Directed,Mention,2280,,<[2021-05-20T19:25:21.801Z]>,1
@akisv90,@panosdotkom,Directed,Retweet,2281,,<[2021-05-20T19:25:21.801Z]>,1
@hapositos,@eurovision,Directed,Quote,2282,,<[2021-05-20T19:25:21.845Z]>,1
@stateofminter,@planetjedward,Directed,Quote,2283,,<[2021-05-20T19:25:21.886Z]>,1
@letsleavex,@eurovision,Directed,Mention,2284,,<[2021-05-20T19:25:21.997Z]>,1
@letsleavex,@eurovision,Directed,Retweet,2285,,<[2021-05-20T19:25:21.997Z]>,1
@stevemolk,@qoifoog,Directed,Mention,2286,,<[2021-05-20T19:25:22.034Z]>,1
@stevemolk,@qoifoog,Directed,Retweet,2287,,<[2021-05-20T19:25:22.034Z]>,1
@sundanc00680473,@whateva_bro,Directed,Mention,2288,,<[2021-05-20T19:25:22.084Z]>,1
@sundanc00680473,@whateva_bro,Directed,Retweet,2289,,<[2021-05-20T19:25:22.084Z]>,1
@trillian_01,@escclap,Directed,Mention,2290,,<[2021-05-20T19:25:22.222Z]>,1
@trillian_01,@escclap,Directed,Retweet,2291,,<[2021-05-20T19:25:22.222Z]>,1
@tve_tve,@rtve,Directed,Mention,2292,,<[2021-05-20T19:25:22.251Z]>,1
